	DLBCL.1	DLBCL.2	DLBCL.3	DLBCL.4	DLBCL.5	DLBCL.6	DLBCL.7	DLBCL.8	DLBCL.9	DLBCL.10	DLBCL.11	DLBCL.12	DLBCL.13	DLBCL.14	DLBCL.15	DLBCL.16	DLBCL.17	DLBCL.18	DLBCL.19	DLBCL.20	DLBCL.21	DLBCL.22	DLBCL.23	DLBCL.24	DLBCL.25	DLBCL.26	DLBCL.27	DLBCL.28	DLBCL.29	DLBCL.30	DLBCL.31	DLBCL.32	DLBCL.33	DLBCL.34	DLBCL.35	DLBCL.36	DLBCL.37	DLBCL.38	DLBCL.39	DLBCL.40	DLBCL.41	DLBCL.42	DLBCL.43	DLBCL.44	DLBCL.45	DLBCL.46	DLBCL.47	DLBCL.48	DLBCL.49	DLBCL.50	DLBCL.51	DLBCL.52	DLBCL.53	DLBCL.54	DLBCL.55	DLBCL.56	DLBCL.57	DLBCL.58	DLBCL.59	DLBCL.60	DLBCL.61	DLBCL.62	DLBCL.63	DLBCL.64	DLBCL.65	DLBCL.66	DLBCL.67	DLBCL.68	DLBCL.69	DLBCL.70	DLBCL.71	DLBCL.72	DLBCL.73	DLBCL.74	DLBCL.75	DLBCL.76	DLBCL.77	DLBCL.78	DLBCL.79	DLBCL.80	DLBCL.81	DLBCL.82	DLBCL.83	DLBCL.84	DLBCL.85	DLBCL.86	DLBCL.87	DLBCL.88	DLBCL.89	DLBCL.90	DLBCL.91	DLBCL.92	DLBCL.93	DLBCL.94	DLBCL.95	DLBCL.96	DLBCL.97	DLBCL.98	DLBCL.99	DLBCL.100
ACTN4	0.0881324961137394	-0.330362406450506	-0.302818715413525	-0.757418888654495	-0.477577654668441	-0.321121090514734	0.10161827453328	-0.811591684130533	0.17794093119012	1.0050948443623	2.6826972864623	-0.715175536567035	-1.84260355147429	0.232229765872099	-1.5023931857929	0.0268797736754016	-0.223732512625737	-0.869453577234993	0.616641163463223	-0.421790476488669	-0.827020939740251	0.327415097668539	-0.44810337678863	-0.560900675144227	0.62981926838096	-0.674451198297914	1.85678653160919	0.342497582975416	1.61771067262194	-0.827036396806089	0.193179648013575	0.832691027704673	-1.1870151408931	0.0428265994803733	-0.461621948737094	-0.433434964041536	0.626534700865902	1.55225532073581	-0.0607216375265495	0.962347768390272	-0.269502187341895	0.753894625449477	-0.369930559097266	0.784694637581063	1.18217217851013	-0.329822715548845	-0.809548765850623	1.56326054284538	-0.809033799614841	0.214854488808493	0.0168415161557553	5.62295981273793	-0.0730753400163342	-1.25811370576165	-1.22496522452745	-0.688150365002349	-0.0628131049773057	-0.0504661960262355	-0.0866532828750827	1.01331851036522	-0.790462908196048	0.913751823136026	-0.886929069342254	1.32029404959884	-0.152885345314505	1.14817315581247	0.787352797438678	-0.00920049880210252	-0.681780196208225	-0.442317902362124	-1.12672258549026	1.14110466820514	-1.43263063728225	-0.65246884951157	-0.453251063354247	0.240784258052394	-0.0749778659020447	-0.31660733083624	0.847003422913488	1.48650069469853	1.21689779337091	-0.727044784750556	-0.203290475507289	-0.297993091430384	0.0273157144400168	0.322224174780204	0.178950299087806	0.405058373854369	-0.865216700052929	-1.00614962797871	-0.519011584977861	-0.175662676600548	-0.235137936836593	0.0450534237065621	-0.896840529824357	-1.06874965396926	-0.232803031464123	-0.1866049069615	-1.20284723918546	-0.421752418895413
ALG13	-1.0041472628957	0.302674716735737	0.0021599169020682	0.236623825177377	-0.386036348171525	-0.875779572015615	-0.471374100850788	-0.255956448542054	0.0756928364529597	0.411256206004578	-0.377159413292109	0.00320410503349224	0.389599519905431	0.511650661298265	-0.0714118845694788	1.38372552627977	-0.0987686365519234	-0.089547218276838	-0.466989145241356	-1.69328213523367	-0.430028570559158	-2.49783985592175	1.20371376815357	-0.129929123367631	1.11804417081652	0.345423139194886	-0.73733481608997	0.672164097887039	0.862593948444732	-0.957282709489287	0.15116372535663	0.206053904179785	1.87381958607831	0.89219776490099	-2.90727438586846	-0.098448632008787	0.425332780347425	0.282606708570185	-1.07771060988979	1.00602906885697	-0.414801173874049	0.42890015331176	-0.954241431604851	0.40866115254685	1.65812874243188	1.38916694640164	0.794462643227348	0.831527655821997	1.36993727893466	0.235207245750966	0.769006128174783	-3.84085021867582	-1.16530652836193	0.0614308361457196	-0.861878507502511	0.0250642521660048	1.00593928568333	1.44755180756062	-2.39328791723345	-1.56292075857581	-0.964086287051211	-0.504122543032782	0.230358581212237	-1.04837749069051	-0.0714830474038367	0.0317083733189019	1.14294138666128	-0.933162986964454	1.10640492248696	0.0118432394238197	-0.0335087566156126	0.396919098984992	1.16850264027901	0.278949084823532	0.716015614179147	0.144670525578653	-1.65999273545601	0.140619071984226	1.22452384748732	0.179612716477468	1.62448389501321	-0.178779646429619	0.352990423410609	-0.253062868000013	-0.997282741643451	-0.0610179922100159	-1.15875512684001	-0.524117878526287	-0.147798749673485	0.43873289855142	1.74884217083628	-0.495128801300963	-0.560040995627198	-1.02034710648106	0.59648361831967	1.29424839341486	-0.244131038662024	-0.266498175474841	0.781725934907162	0.549991830662657
AP3S1	0.749960068096274	0.0186464150278409	0.868112928597903	0.548553855181102	0.539306319924596	1.5880760379894	-1.146163013156	0.841910536470404	0.763300820176546	0.103455542622619	0.959275738042202	0.741582841431412	0.765819784099789	0.646941546443512	0.879913236536915	-0.210387055640106	0.936486107665145	-0.95002523443983	1.22234410596359	0.00888422812677701	-0.404834645034215	-0.621779867130794	0.0430734911998556	0.208456733726314	1.52098557085952	-0.334700024231604	-0.278938478006339	-1.12296139609474	1.06525391289789	-1.11347291160066	1.00876256787728	-0.767238688587722	1.37312276613107	0.300113878147481	-4.7944725375561	0.505866413825447	0.690868519090119	1.30083722492496	-0.0740428654962063	-0.280092656211693	-0.285048087608999	0.408875905892092	-0.55257245156535	-0.372528840394691	1.11531427606888	1.08715212029647	0.270539004546595	0.159600827243929	-0.532953014167631	0.353716613276542	-0.145252068816883	-2.9239555048572	0.333913691705633	-0.756612092618561	-0.876867174599529	-1.19066773585959	-0.040865289130814	-0.787315852148634	-1.59482921831908	0.443731103202341	-0.185379579158764	-0.696447692043158	0.0611866125184525	-1.81631881447729	-0.192897937453925	0.482921186269959	-1.18687609830408	-0.281149783033841	1.94364347474789	-1.06120492965983	0.686643255498153	0.149843335254134	0.345126974936787	-0.108343239220113	-0.472667955951169	-0.369647987115842	-0.249164268173568	-0.455375081776434	0.296799929837003	2.00620390207443	1.3259821488308	-0.657823777135312	-0.0796398955941869	-0.891337758581515	-2.57712028097443	-0.333904441247737	-0.695537710548381	1.65119277655477	-0.220323396378431	0.240849901270188	-0.512508970803021	-0.135760343257857	0.648774187012373	-0.153743573353519	-0.367558726502898	0.60888036967686	0.84308686167408	-0.00950623309855465	0.468646037163762	-0.263720509511254
ATP6V1G2	1.88820436334301	0.294102176144895	-1.35018197817546	0.491119299427481	-0.321261854036889	-0.180380790141685	0.814360739055107	1.05753524973052	-2.12288709468314	0.274052624821771	2.2591943848632	-1.46143683883561	-0.678216038489367	-0.578465283729816	-0.464251809670966	-1.39941178941271	-0.275825476499257	-0.0168647430807095	0.465763119934703	1.08232007570092	-0.791704548362763	1.17182183963206	-0.619608769367346	-0.992351146265518	-0.85378286974983	-0.447854553566053	-0.719156043938113	-0.435181504217832	0.140678983714221	-0.624790526876446	-0.734848542212363	0.947687734010502	-1.65759300677668	0.18574009715567	-0.941476129240521	-0.744876265656292	0.545920782363965	1.50910093911549	0.115559677821958	-1.69879568698786	0.783295485333508	-0.873969422593662	-0.26372827949718	-1.07602287133477	-0.954768099037305	1.0715836935849	0.314402922396351	1.09816792712297	0.620859857696387	0.141678531686126	1.71592471748688	2.33752132479608	0.892623014120663	-0.0865097826372169	0.494412131488043	-1.2614492690825	-0.314129261161066	0.638423043681235	-1.86688825385568	1.15061141076871	-0.382704783686229	0.943533810540875	0.517599505356887	-0.889388498738597	-0.479387372460454	1.82477338081496	-0.0659040477552454	0.756367298087225	-0.947444643930045	-0.88316265057763	-1.72793473367334	1.11504698962094	0.353518789918061	-0.627063933029956	-0.0892873179179888	-0.431823196194574	-1.1478340668147	0.699993023517284	0.442265757342318	1.82754650457669	0.183126667506	0.341938767491481	1.37886778103179	-0.127995946498876	-1.38613690757594	0.125029039605257	-1.37992724150725	2.88483649403532	0.100265025300832	-0.41097204804445	-0.171583917456911	1.11597225896903	-0.650126421429368	-0.354640065290335	0.476109416595989	0.0199932183778627	0.290793664411459	-0.87358559315944	0.36604298978478	-0.430714614968421
CADPS	-0.0203496273582932	0.0608207479992197	2.19912594124294	1.05258869821935	-0.659986355068771	0.427083416063651	-0.485140804886921	-1.04091436249314	-0.722779136688648	-1.07946833436754	0.989681543758624	-0.645212062763853	1.03817323895116	-0.407730618932386	-0.38469572408193	0.951064230580112	-1.35232833995217	-0.274241306218797	-0.718077895708244	-0.21676574658429	-0.375934357250165	-0.339250766247067	-1.01603670776669	1.01254683733474	-0.206501865853863	2.2873283597805	0.806685466112813	-0.220438274213192	-1.26364143161499	0.464462033967681	-1.32091170019299	0.0770561868171119	0.646905983981123	-0.937209793978493	-0.638131924012344	1.81696807266999	0.425135097834568	3.04317376176047	-0.754841642251153	-1.97773361830351	1.38771138030562	-0.926325382771504	-0.0547791447189862	-0.304920035925838	0.259165875925567	0.0492404840843125	1.72813495899884	-0.580791594244691	0.535812202487212	-0.185434320706464	0.0521158497582101	3.74219076202111	-1.72237117796441	-1.59778063649468	1.34873265313952	-0.453308809531911	-0.226605436243491	0.862394381104232	-0.611959019170176	0.687543714157501	-0.384593360118336	-0.544306159101096	0.771804813637455	1.24176606513902	0.143823142925416	0.0276128727133638	0.0173669454598135	-1.7434137799775	0.424992087742878	1.05818469504375	-0.380506080018814	-0.701142711736288	-1.44468186435932	0.688108417332155	-1.51722754363536	-0.281239570401994	-0.870032319207869	-0.174730569008338	0.558379811973663	0.925698907311355	1.7048079442792	-0.266012759886791	-0.254865520596765	0.100221464531488	-0.545822059357691	-0.7920151520421	0.600211438894249	-0.896252185171107	0.685822375696238	-0.0125455323091203	-0.345245286476733	-0.0837282217468494	0.149009053790378	0.311290969384286	-0.636715050465142	-0.492583154244246	-0.24531210729966	-1.16084357513395	0.456257592386004	-0.320787960440203
CAPZB	-0.527671732622867	-0.506006626687458	-1.86202144344052	-0.965956821740815	-0.371696861388692	0.11689186301413	2.98695662657067	0.10525782019522	1.09702612359985	1.00760264980173	0.253358196629874	0.114507207217713	-0.373881696013752	-0.633869668923501	-0.00249454378308442	0.157364898478332	0.0398765467413101	0.771309225793567	-0.158401210886305	-1.13756883154109	0.0617948978485819	0.135917382170508	-0.455447981000156	-0.103413249699934	-0.226762769239737	0.103313487083265	0.626392719318759	-0.535934016349692	0.429719088891845	-0.666337557387335	-0.306462254826983	0.527873252876799	-0.0220188967224615	-0.789929092060286	1.53140508943633	0.307155069829408	-0.573089829460056	1.30603192054553	-0.237303102156337	2.39778717793841	-0.194280638313467	-0.372161872358155	0.361671260091748	-0.799194875106229	-0.953997698197034	-0.139592077077124	-0.922432224964212	0.468403805950807	0.157666659979213	-1.51158489183649	-2.41663074444032	0.917039337125915	0.495536297773877	0.676938954523184	-2.9786025442711	-0.565679190331352	-1.27815286306964	0.35490870853922	0.189798467646199	1.87722297326749	-0.906427725924601	-0.746408176580592	-0.398000060234802	2.22962585332712	0.999146266406434	-0.697639883431668	-1.4686936094835	-0.534770268063708	-0.330838096734765	0.664409433781588	-0.619685569032281	-1.57527730886187	0.00924640942200965	0.367254131853672	0.894274716056877	0.467759650601732	-0.483305510888239	1.01012887247671	1.8771730830228	0.847580075387759	1.64591458323585	-2.21043692541897	-0.315437658736023	0.175624129249677	2.17552012184179	-1.28362481610172	-1.15093740517045	-0.730526385809897	-0.548473175037643	0.961739362288318	0.467555121424618	0.452639088237769	0.056328134150188	0.271683881134202	0.999791204133729	-0.397188378133733	0.553346146641167	-0.282025585507856	-0.0834958734310915	0.648302244926124
CCDC136	-0.98165656164432	0.512953614015291	1.1404589818024	-1.5533722694767	-1.34193052352846	0.69160952372304	0.960321538099282	-1.47937813321599	-0.559904209891132	-1.29465485698439	1.73009500846777	0.0192882971076745	-0.191013291750372	-0.481621190034752	-1.73834504711607	0.984606904263924	1.55559535455449	0.0925998027822128	-1.39911766422001	-0.782964377133725	-0.562772458942446	0.562117722730594	1.08151938195121	-0.559257457743462	0.504439764912836	1.6451599818082	-0.203204801579515	-0.352659359260739	0.0392172190501086	0.826405095466147	1.7857557212333	0.954241287030569	-0.971803854292782	-1.2484189660752	-0.786551446196769	-0.394129873173242	-0.557698627341324	-1.7795205290833	-0.253898602164047	-0.672853887088371	1.07635767788571	0.307640482924042	1.46798717960118	0.30962331099751	-0.572114920756817	-0.196196070649318	-0.77144202466852	1.044316654338	-1.29118071291043	0.962899244868938	0.982003887750066	0.711007101803286	0.664376450519861	-0.354906043985459	-1.43652393585511	0.723428940277147	0.71748008099008	0.782531925706468	1.10155680710718	-1.46985881683242	0.00773285735541172	-0.0834699313633265	0.868564660207354	0.187355155664248	1.49326956913624	-0.266008658426661	0.236246811953088	-0.921638679483802	-0.430274599266539	1.5034092828193	0.0502811325945724	-0.632958566291758	-0.696219082251184	1.57631002615855	1.97130748980806	-0.489548350598113	0.533837841815261	-0.490529627268318	1.36636609990508	0.342479326494632	1.73130995302888	-0.767912902484463	-0.741055627230311	0.022963872029354	0.582068197890715	1.83513913105032	-1.80164470827184	-1.55466615340623	-0.489848185324152	-0.281283046787417	-0.0516211643654341	-1.79072342713357	-0.947533086392453	1.11645401304014	-0.00552565047797666	-0.74854417674239	-0.475652975098745	0.384110697947829	-0.0287103919502788	-1.81248155845739
CLCN7	-0.185340382104411	-0.215991225923537	0.0881425988841415	-1.38394725799981	-0.532010498846378	0.231499407911619	1.91202162250302	-0.796191856534658	-0.94709871131114	-0.578247106344718	1.77965196450603	0.715314472280607	0.626709144064713	1.03942973749701	-0.766365987823933	-0.952623952284013	-0.687668220910813	-0.290514297257988	-0.505492534160093	0.138925131196177	-1.44650226993388	1.07371609290138	-0.491802447419391	-1.02544710121386	-0.729968978250302	-0.199360427904861	0.679697329369818	-0.642221832118121	0.41945400256682	-0.602828183586767	0.0742940783725762	0.0633562228896342	0.000199721519113091	0.462927616948397	-0.172182442565873	-1.31755121380509	1.32100365024962	2.23359482110812	-1.77231907965206	1.90279256786879	-0.600883948406518	-0.0655635838900053	0.429838289500804	0.149233344800486	-0.661887789277395	-0.147049109724772	0.460801615383463	-1.19770180197433	-0.0851550435129499	-0.926327143776889	1.20252135569746	4.39781455339167	0.137878486890943	0.486113066391508	0.195400827890043	-1.41021244902589	1.75945600760807	-1.0162485940494	0.925186614551074	1.02004083542894	-0.46646727136091	-0.644152520639375	-2.06961984617225	1.09801399982373	0.339629009154842	1.03017169009156	-0.514273254874061	0.0340673244260989	-0.890816956132366	-0.0122618559262975	0.122622308314944	0.695810956648174	0.714480034898053	0.490270980629971	0.701081702671777	-1.0767440812292	-0.583332021528626	-1.32663804271114	0.265722615969506	2.3463924672022	0.363631321144809	-1.32249687982931	0.312062873997202	-1.96537110792684	0.0603173814013584	0.124486572908663	0.188536309129828	-0.185992808288929	-0.0433329807226585	0.349931694642161	-0.0109636699228675	-0.226656605683927	-0.443430394490775	0.779191523727636	-1.31305088115584	-0.679319072147846	0.188082407487431	-0.463062471730903	-0.329492705431607	0.788662545053593
COG7	0.162285857162234	0.168432993082539	-0.395336047108	-1.2180109107084	0.276307667524813	-0.0904021437722279	-0.470152848821968	0.761324011883286	-1.00095771966553	0.00205181711945085	-0.147657803888569	0.498331035017884	0.435099027627005	-0.127429833990441	-1.93097664919021	0.788232620111616	-1.01392491566749	-2.27181730365403	-1.34011575554747	-0.324042340998036	-0.628564118759273	-0.656688759456367	-0.676878283302488	-0.602865063061928	0.321935398987399	-1.15454019504323	1.06897564385769	-0.524958299839272	0.0281549003239637	0.0582982424858293	0.516953562302867	1.06253216109249	-0.599295325712641	-0.436836539710242	0.801776386074562	0.156763563782748	1.07138147412869	-0.464403224422832	0.180513302940456	0.536878600481689	0.213347739196321	1.3066729490254	0.970536836638162	1.11988884620737	0.348358981611606	-0.503324184022882	-0.292645933676654	0.17217391438784	0.621727913553103	-0.102542673957778	1.43328150716749	4.47805515709036	0.314966651193248	-0.0963155204215208	-1.02792530309395	-0.393750893740751	0.43801685207432	-1.33209679835898	1.9117882163515	0.981724445664704	0.0463086187944268	-1.10823815224472	-0.37120665611888	2.16161294337385	-0.240265905299297	0.138068317356168	-1.19147962344293	-0.813210350766958	-1.22418993993288	-0.50911317377196	-1.52758066819072	0.237081512268184	0.387953231591307	-1.46345624445371	2.2832428279169	0.3316057337819	0.232601570335722	0.310559104300169	0.843570055066746	3.30734054342363	0.463829500251311	-0.628825548505416	-0.153231727216385	0.11775526265176	-0.275044640065363	-0.45677370469911	-0.847622059662641	-0.947929665747619	-0.866666002764801	-0.387683844999734	-1.59257198530415	-0.171718118288543	-0.553299630421494	0.108385661516086	0.243751994963788	-0.335448444709298	0.674940987171041	0.351040548297822	0.0450372201757891	-0.0014424331854522
CORO1A	0.28049700546086	0.36014377042871	-0.256949781911983	-0.548593118858418	0.545071622733858	-0.493900843660593	1.08844798840167	0.482242409692602	-0.358436227456736	-0.550456786617614	1.41809447678563	-0.0791532834722853	0.51035772037284	0.224325307686838	-0.877588676623506	-0.813980374470256	0.630560152110617	-0.266314938700787	-0.355788954907442	0.264122364494109	-0.994278702770912	-0.300087798698321	-0.741575496488194	-1.05670437562412	-0.0754173385571301	-0.443972773838632	0.974075595668797	-0.647626044753613	1.35248888865631	-0.764574340801247	-0.0395414897351219	1.62308160529331	-0.410051368564212	1.47765018965935	0.408766040889624	-1.3949265312785	-0.804002827711819	2.75397012515383	-0.847179672282606	1.07463235371132	-0.582662532885889	-0.558429654239642	0.150423375030527	1.61182516023703	1.12493784768643	-1.47593123182076	0.300185532116525	1.53106943030818	-0.642714387621325	-2.25504195357402	0.479505926193672	3.56832131198018	-0.853895821292647	-0.89672294443827	-1.28657646555276	-1.08718066996565	0.33132484992461	0.32042222743577	-1.10553926048064	0.740051343486014	0.749018344585476	1.20245151229208	0.502518605446984	0.516197208010033	0.059685634598152	0.813334815798642	-0.577034555365776	-0.668512573564707	0.402817538056047	-1.45368642121784	-2.10846364665627	1.46026653126307	0.0291352718256357	0.288179960274003	0.870804064607254	0.851956599064641	-1.51823820184569	-0.454734603555846	0.4418299419811	2.37301781742333	1.33117664812554	-0.124372195651632	0.490982214714872	-0.925643881348105	0.318909466385438	0.0700017403893244	-0.84542978527659	-0.994322654938845	-0.643799814107713	0.287155780191316	-1.29272242008316	-0.311494599069543	-1.01437928577452	0.610031479120713	-0.866330565603278	0.480898364584515	-0.326999982747453	-0.424901199821725	-1.14097242662969	-0.219128677423361
